ORIGIN STATUS TIMESTAMP_RECEIVED TIMESTAMP_FINISHED
103 192.168.0.200 playerVirtual16_4246147567 playerVirtual16 192.168.0.200 playerVirtual11 playerVirtual11_b3f4d0a7eb 3 1 2 4096 40 2018-02-18 14:57:41 2018-02-18 16:39:49
104 192.168.0.200 playerVirtual10_4246147567 playerVirtual10 192.168.0.200 playerVirtual18 playerVirtual18_25059b2aaf 3 1 2 4096 40 2018-02-18 15:01:21 2018-02-18 17:23:11
105 192.168.0.200 playerVirtual12_4246147567 playerVirtual12 192.168.0.200 playerVirtual10 playerVirtual10_2a9d9bf4e3 3 1 2 4096 40 2018-02-18 15:05:43 2018-02-18 17:34:31
106 192.168.0.200 playerVirtual18_4246147567 playerVirtual18 192.168.0.200 playerVirtual15 playerVirtual15_57775b1407 3 1 2 4096 40 2018-02-18 15:07:41 2018-02-18 17:32:30
107 192.168.0.200 playerVirtual17_990694203 playerVirtual17 192.168.0.200 playerVirtual12 playerVirtual12_2bc98deec3 3 1 1 2048 20 2018-02-18 15:10:47 2018-02-18 17:30:01
108 192.168.0.200 playerVirtual14_6566788 playerVirtual14 192.168.0.200 playerVirtual17 playerVirtual17_01cbf661a0 3 1 1 2048 20 2018-02-18 15:20:23 2018-02-18 15:31:45
109 192.168.0.200 playerVirtual15_4246147567 playerVirtual15 192.168.0.200 playerVirtual19 playerVirtual19_1b14749a4a 3 1 2 4096 40 2018-02-18 15:25:11 2018-02-18 17:10:22
110 192.168.0.200 playerVirtual11_4820150269 playerVirtual11 192.168.0.200 playerVirtual13 playerVirtual13_f1b00c497a 1 1 2 4096 40 2018-02-18 15:26:14 NULL
111 192.168.0.200 playerVirtual16_4246147567 playerVirtual16 192.168.0.200 playerVirtual14 playerVirtual14_fd15e8a845 3 1 2 4096 40 2018-02-18 15:26:46 2018-02-18 16:39:49
112 192.168.0.200 playerVirtual10_3338579772 playerVirtual10 192.168.0.200 playerVirtual16 playerVirtual16_e7d3eea4c7 1 1 1 2048 20 2018-02-18 15:31:14 NULL
113 192.168.0.200 playerVirtual12_16917741 playerVirtual12 192.168.0.200 playerVirtual11 playerVirtual11_601a35d6e8 3 1 1 512 1 2018-02-18 15:35:34 2018-02-18 16:17:09
114 192.168.0.200 playerVirtual18_990694203 playerVirtual18 192.168.0.200 playerVirtual10 playerVirtual10_a7e6f7f04c 3 1 1 2048 20 2018-02-18 15:38:37 2018-02-18 15:58:18
115 192.168.0.200 playerVirtual13_5068098508 playerVirtual13 192.168.0.200 playerVirtual18 playerVirtual18_0d7cf96b16 1 1 1 2048 20 2018-02-18 15:41:07 NULL
116 192.168.0.200 playerVirtual12_4246147567 playerVirtual12 192.168.0.200 playerVirtual15 playerVirtual15_ab0b83a1e7 3 1 2 4096 40 2018-02-18 15:43:53 2018-02-18 17:34:31
117 192.168.0.200 playerVirtual11_4246147567 playerVirtual11 192.168.0.200 playerVirtual12 playerVirtual12_c37a2d17d0 3 1 2 4096 40 2018-02-18 15:45:25 2018-02-18 17:35:04
118 192.168.0.200 playerVirtual10_1438244924 playerVirtual10 192.168.0.200 playerVirtual17 playerVirtual17_72bb90aeab 1 1 1 2048 20 2018-02-18 15:46:32 NULL
119 192.168.0.200 playerVirtual14_4246147567 playerVirtual14 192.168.0.200 playerVirtual19 playerVirtual19_575da74feb 3 1 2 4096 40 2018-02-18 15:52:39 2018-02-18 17:48:43
120 192.168.0.200 playerVirtual15_6280643141 playerVirtual15 192.168.0.200 playerVirtual13 playerVirtual13_a9b1593f9a 1 1 1 512 1 2018-02-18 15:56:11 NULL
121 192.168.0.200 playerVirtual16_4246147567 playerVirtual16 192.168.0.200 playerVirtual14 playerVirtual14_548f7694b5 3 1 2 4096 40 2018-02-18 15:58:14 2018-02-18 16:39:49
122 192.168.0.200 playerVirtual19_990694203 playerVirtual19 192.168.0.200 playerVirtual16 playerVirtual16_486399b082 1 1 1 2048 20 2018-02-18 16:03:49 NULL
123 192.168.0.200 playerVirtual15_4246147567 playerVirtual15 192.168.0.200 playerVirtual11 playerVirtual11_31809c9f39 3 1 2 4096 40 2018-02-18 16:05:19 2018-02-18 17:10:22
124 192.168.0.200 playerVirtual10_4246147567 playerVirtual10 192.168.0.200 playerVirtual18 playerVirtual18_72c60fef0e 3 1 2 4096 40 2018-02-18 16:05:32 2018-02-18 17:23:11
125 192.168.0.200 playerVirtual17_4246147567 playerVirtual17 192.168.0.200 playerVirtual10 playerVirtual10_e1631e560f 3 1 2 4096 40 2018-02-18 16:13:52 2018-02-18 16:23:49
126 192.168.0.200 playerVirtual18_2378747961 playerVirtual18 192.168.0.200 playerVirtual15 playerVirtual15_442cf985c0 1 1 1 512 1 2018-02-18 16:14:45 NULL
