ORIGIN STATUS TIMESTAMP_RECEIVED TIMESTAMP_FINISHED
124 192.168.0.200 playerVirtual10_4246147567 playerVirtual10 192.168.0.200 playerVirtual14 playerVirtual14_a0b6d57251 3 2 4096 40 2018-02-13 23:01:13 2018-02-14 01:04:18
125 192.168.0.200 playerVirtual13_82730999 playerVirtual13 192.168.0.200 playerVirtual10 playerVirtual10_f175a849d0 1 1 512 1 2018-02-13 23:01:59 NULL
126 192.168.0.200 playerVirtual12_6566788 playerVirtual12 192.168.0.200 playerVirtual11 playerVirtual11_8f473b3dea 1 1 2048 20 2018-02-13 23:04:26 NULL
127 192.168.0.200 playerVirtual19_4246147567 playerVirtual19 192.168.0.200 playerVirtual15 playerVirtual15_33ed65ce98 1 2 4096 40 2018-02-13 23:06:20 NULL
128 192.168.0.200 playerVirtual13_4246147567 playerVirtual13 192.168.0.200 playerVirtual4 playerVirtual13_4246147567 0 2 4096 40 2018-02-13 23:07:04 2018-02-13 23:07:04
129 192.168.0.200 playerVirtual12_4246147567 playerVirtual12 192.168.0.200 playerVirtual13 playerVirtual13_0b24d1bbc4 3 2 4096 40 2018-02-13 23:12:36 2018-02-13 23:37:50
130 192.168.0.200 playerVirtual16_4246147567 playerVirtual16 192.168.0.200 playerVirtual6 playerVirtual16_4246147567 0 2 4096 40 2018-02-13 23:12:51 2018-02-13 23:12:51
131 192.168.0.200 playerVirtual18_5068098508 playerVirtual18 192.168.0.200 playerVirtual19 playerVirtual19_392ce9c35d 1 1 2048 20 2018-02-13 23:12:59 NULL
132 192.168.0.200 playerVirtual11_1436344784 playerVirtual11 192.168.0.200 playerVirtual18 playerVirtual18_53dc5db9de 1 1 2048 20 2018-02-13 23:14:53 NULL
133 192.168.0.200 playerVirtual4_4246147567 playerVirtual4 192.168.0.200 playerVirtual3 playerVirtual4_4246147567 0 2 4096 40 2018-02-13 23:15:19 2018-02-13 23:15:19
134 192.168.0.200 playerVirtual14_6280643141 playerVirtual14 192.168.0.200 playerVirtual17 playerVirtual17_43192c7e43 1 1 512 1 2018-02-13 23:21:26 NULL
135 192.168.0.200 playerVirtual15_4246147567 playerVirtual15 192.168.0.200 playerVirtual16 playerVirtual16_f7e49be6c0 3 2 4096 40 2018-02-13 23:25:59 2018-02-14 00:39:11
136 192.168.0.200 playerVirtual18_4246147567 playerVirtual18 192.168.0.200 playerVirtual10 playerVirtual10_55c29618c9 3 2 4096 40 2018-02-13 23:32:07 2018-02-14 00:23:47
137 192.168.0.200 playerVirtual10_4246147567 playerVirtual10 192.168.0.200 playerVirtual11 playerVirtual11_990fa2c01d 3 2 4096 40 2018-02-13 23:34:19 2018-02-14 01:04:18
138 192.168.0.200 playerVirtual14_990694203 playerVirtual14 192.168.0.200 playerVirtual12 playerVirtual12_8cdd4231dc 3 1 2048 20 2018-02-13 23:35:32 2018-02-13 23:57:49
139 192.168.0.200 playerVirtual17_4246147567 playerVirtual17 192.168.0.200 playerVirtual14 playerVirtual14_c500356ba8 3 2 4096 40 2018-02-13 23:42:54 2018-02-14 01:14:55
140 192.168.0.200 playerVirtual13_4820318661 playerVirtual13 192.168.0.200 playerVirtual15 playerVirtual15_b5efa6e56b 1 2 4096 40 2018-02-13 23:43:02 NULL
141 192.168.0.200 playerVirtual3_4246147567 playerVirtual3 192.168.0.200 playerVirtual4 playerVirtual4_b5fd71d905 3 2 4096 40 2018-02-13 23:47:30 2018-02-14 00:00:40
142 192.168.0.200 playerVirtual16_4246147567 playerVirtual16 192.168.0.200 playerVirtual19 playerVirtual19_c79b21723e 1 2 4096 40 2018-02-13 23:47:45 NULL
143 192.168.0.200 playerVirtual12_990694203 playerVirtual12 192.168.0.200 playerVirtual13 playerVirtual13_d62eecaf1c 3 1 2048 20 2018-02-13 23:48:45 2018-02-14 00:13:59
