ORIGIN STATUS TIMESTAMP_RECEIVED TIMESTAMP_FINISHED
78 192.168.0.200 playerVirtual12_6955737 playerVirtual12 192.168.0.200 playerVirtual8 playerVirtual8_0dd1a55c05 1 1 2048 20 2018-02-12 13:21:11 NULL
79 192.168.0.200 playerVirtual6_6289355687 playerVirtual6 192.168.0.200 playerVirtual17 playerVirtual17_b1dea6187a 1 1 512 1 2018-02-12 13:21:37 NULL
80 192.168.0.200 playerVirtual17_1438244924 playerVirtual17 192.168.0.200 playerVirtual2 playerVirtual17_1438244924 0 1 2048 20 2018-02-12 13:21:57 2018-02-12 13:21:57
81 192.168.0.200 playerVirtual10_1438244924 playerVirtual10 192.168.0.200 playerVirtual15 playerVirtual15_471d5a5b60 3 1 2048 20 2018-02-12 13:22:15 2018-02-12 13:29:09
82 192.168.0.200 playerVirtual19_6289704471 playerVirtual19 192.168.0.200 playerVirtual6 playerVirtual6_a6001f0082 3 1 512 1 2018-02-12 13:23:15 2018-02-12 13:36:00
83 192.168.0.200 playerVirtual5_794070039 playerVirtual5 192.168.0.200 playerVirtual7 playerVirtual7_571e761529 3 1 512 1 2018-02-12 13:23:40 2018-02-12 16:25:21
84 192.168.0.200 playerVirtual7_990694203 playerVirtual7 192.168.0.200 playerVirtual5 playerVirtual5_71ce3c9b59 3 1 2048 20 2018-02-12 13:24:31 2018-02-12 13:31:36
85 192.168.0.200 playerVirtual16_6296865278 playerVirtual16 192.168.0.200 playerVirtual13 playerVirtual13_ebca1d0037 1 1 512 1 2018-02-12 13:26:36 NULL
86 192.168.0.200 playerVirtual4_6296268057 playerVirtual4 192.168.0.200 playerVirtual19 playerVirtual19_a84d375bfe 1 1 512 1 2018-02-12 13:30:07 NULL
87 192.168.0.200 playerVirtual14_6264344062 playerVirtual14 192.168.0.200 playerVirtual12 playerVirtual12_95a7fc8615 1 1 2048 20 2018-02-12 13:31:34 NULL
88 192.168.0.200 playerVirtual12_990694203 playerVirtual12 192.168.0.200 playerVirtual9 playerVirtual9_58f4f0ca77 3 1 2048 20 2018-02-12 13:33:39 2018-02-12 13:39:11
89 192.168.0.200 playerVirtual9_6301942525 playerVirtual9 192.168.0.200 playerVirtual14 playerVirtual14_a445e109e8 1 1 512 1 2018-02-12 13:34:19 NULL
90 192.168.0.200 playerVirtual17_5297461910 playerVirtual17 192.168.0.200 playerVirtual18 playerVirtual18_061e6f557c 3 1 512 1 2018-02-12 13:35:40 2018-02-12 15:02:00
91 192.168.0.200 playerVirtual16_6274355716 playerVirtual16 192.168.0.200 playerVirtual10 playerVirtual10_6652a1a56c 1 1 512 1 2018-02-12 13:37:55 NULL
92 192.168.0.200 playerVirtual11_1095593 playerVirtual11 192.168.0.200 playerVirtual8 playerVirtual8_b1dcef1094 3 1 512 1 2018-02-12 13:38:49 2018-02-12 13:46:14
93 192.168.0.200 playerVirtual4_4246147567 playerVirtual4 192.168.0.200 playerVirtual16 playerVirtual16_4082ac5dbd 3 2 4096 40 2018-02-12 13:40:00 2018-02-12 16:31:14
94 192.168.0.200 playerVirtual13_539194189 playerVirtual13 192.168.0.200 playerVirtual11 playerVirtual11_8580780e77 3 1 2048 20 2018-02-12 13:41:03 2018-02-12 16:19:10
95 192.168.0.200 playerVirtual6_908315 playerVirtual6 192.168.0.200 playerVirtual4 playerVirtual4_9ac95ae82c 1 1 2048 20 2018-02-12 13:41:32 NULL
96 192.168.0.200 playerVirtual14_6315250734 playerVirtual14 192.168.0.200 playerVirtual17 playerVirtual17_254fbd5d2f 1 1 512 1 2018-02-12 13:44:18 NULL
97 192.168.0.200 playerVirtual9_4246147567 playerVirtual9 192.168.0.200 playerVirtual15 playerVirtual15_9901e7150e 3 2 4096 40 2018-02-12 13:45:16 2018-02-12 16:46:36
98 192.168.0.200 playerVirtual5_6289704471 playerVirtual5 192.168.0.200 playerVirtual7 playerVirtual7_b6565f0920 1 1 2048 20 2018-02-12 13:45:30 NULL
99 192.168.0.200 playerVirtual19_2378747961 playerVirtual19 192.168.0.200 playerVirtual5 playerVirtual5_2486985f45 2 1 512 1 2018-02-12 13:46:11 2018-02-12 14:59:04
100 192.168.0.200 playerVirtual8_4246147567 playerVirtual8 192.168.0.200 playerVirtual6 playerVirtual6_2b6a77ce35 3 2 4096 40 2018-02-12 13:48:56 2018-02-12 15:53:48
101 192.168.0.200 playerVirtual18_4246147567 playerVirtual18 192.168.0.200 playerVirtual13 playerVirtual13_ff0a83f3ec 3 2 4096 40 2018-02-12 13:49:10 2018-02-12 16:45:24
102 192.168.0.200 playerVirtual15_4246147567 playerVirtual15 192.168.0.200 playerVirtual19 playerVirtual19_3db635a608 3 2 4096 40 2018-02-12 13:49:36 2018-02-12 16:35:39
103 192.168.0.200 playerVirtual16_5068098508 playerVirtual16 192.168.0.200 playerVirtual12 playerVirtual12_2e55c78201 3 1 2048 20 2018-02-12 13:50:30 2018-02-12 14:30:04
104 192.168.0.200 playerVirtual10_4246147567 playerVirtual10 192.168.0.200 playerVirtual9 playerVirtual9_5f213e5291 3 2 4096 40 2018-02-12 13:51:34 2018-02-12 16:57:02
105 192.168.0.200 playerVirtual6_4246147567 playerVirtual6 192.168.0.200 playerVirtual14 playerVirtual14_0ff5f1ca9d 3 2 4096 40 2018-02-12 13:54:03 2018-02-12 16:58:25
106 192.168.0.200 playerVirtual13_4246147567 playerVirtual13 192.168.0.200 playerVirtual18 playerVirtual18_7866a26d69 3 2 4096 40 2018-02-12 13:54:10 2018-02-12 15:59:57
107 192.168.0.200 playerVirtual7_4246147567 playerVirtual7 192.168.0.200 playerVirtual10 playerVirtual10_cb538ad970 3 2 4096 40 2018-02-12 13:54:55 2018-02-12 17:03:13
108 192.168.0.200 playerVirtual5_4246147567 playerVirtual5 192.168.0.200 playerVirtual11 playerVirtual11_c397cb1f17 3 2 4096 40 2018-02-12 13:55:34 2018-02-12 17:06:57
109 192.168.0.200 playerVirtual12_4246147567 playerVirtual12 192.168.0.200 playerVirtual7 playerVirtual7_184cafc20c 3 2 4096 40 2018-02-12 13:56:40 2018-02-12 17:00:35
110 192.168.0.200 playerVirtual14_1095593 playerVirtual14 192.168.0.200 playerVirtual5 playerVirtual5_e0f911b53f 3 1 512 1 2018-02-12 13:57:00 2018-02-12 16:46:14
111 192.168.0.200 playerVirtual17_990694203 playerVirtual17 192.168.0.200 playerVirtual8 playerVirtual8_67f2f01157 3 1 2048 20 2018-02-12 13:59:03 2018-02-12 14:04:57
112 192.168.0.200 playerVirtual19_4246147567 playerVirtual19 192.168.0.200 playerVirtual16 playerVirtual16_18190246e9 3 2 4096 40 2018-02-12 14:00:49 2018-02-12 16:28:47
113 192.168.0.200 playerVirtual11_6322213339 playerVirtual11 192.168.0.200 playerVirtual12 playerVirtual12_58073f5a59 1 1 512 1 2018-02-12 14:03:19 NULL
114 192.168.0.200 playerVirtual16_4246147567 playerVirtual16 192.168.0.200 playerVirtual4 playerVirtual4_fae9052e8c 3 2 4096 40 2018-02-12 14:04:23 2018-02-12 16:10:47
115 192.168.0.200 playerVirtual4_4246147567 playerVirtual4 192.168.0.200 playerVirtual17 playerVirtual17_06c58f86fb 3 2 4096 40 2018-02-12 14:05:40 2018-02-12 16:31:14
116 192.168.0.200 playerVirtual14_4246147567 playerVirtual14 192.168.0.200 playerVirtual15 playerVirtual15_3c06d4c47c 3 2 4096 40 2018-02-12 14:12:02 2018-02-12 15:26:01
117 192.168.0.200 playerVirtual11_4246147567 playerVirtual11 192.168.0.200 playerVirtual9 playerVirtual9_619cf03e2e 3 2 4096 40 2018-02-12 14:13:26 2018-02-12 16:52:17
118 192.168.0.200 playerVirtual8_4246147567 playerVirtual8 192.168.0.200 playerVirtual6 playerVirtual6_efcddc19d8 3 2 4096 40 2018-02-12 14:14:48 2018-02-12 15:53:48
119 192.168.0.200 playerVirtual15_4246147567 playerVirtual15 192.168.0.200 playerVirtual13 playerVirtual13_e59b9f4a4a 3 2 4096 40 2018-02-12 14:15:41 2018-02-12 16:35:39
120 192.168.0.200 playerVirtual18_6335261139 playerVirtual18 192.168.0.200 playerVirtual19 playerVirtual19_88bc189f86 1 1 512 1 2018-02-12 14:15:53 NULL
121 192.168.0.200 playerVirtual10_4246147567 playerVirtual10 192.168.0.200 playerVirtual14 playerVirtual14_f85cdf4738 3 2 4096 40 2018-02-12 14:19:27 2018-02-12 16:57:02
122 192.168.0.200 playerVirtual13_4246147567 playerVirtual13 192.168.0.200 playerVirtual18 playerVirtual18_e872442f0b 3 2 4096 40 2018-02-12 14:22:15 2018-02-12 15:59:57
123 192.168.0.200 playerVirtual6_4246147567 playerVirtual6 192.168.0.200 playerVirtual10 playerVirtual10_890215c2e0 3 2 4096 40 2018-02-12 14:22:20 2018-02-12 16:58:25
124 192.168.0.200 playerVirtual7_6344084916 playerVirtual7 192.168.0.200 playerVirtual11 playerVirtual11_9bf6063d69 1 1 512 1 2018-02-12 14:23:31 NULL
125 192.168.0.200 playerVirtual12_4246147567 playerVirtual12 192.168.0.200 playerVirtual11 playerVirtual11_8cb57e1413 3 2 4096 40 2018-02-12 14:23:38 2018-02-12 17:00:35
126 192.168.0.200 playerVirtual5_990694203 playerVirtual5 192.168.0.200 playerVirtual7 playerVirtual7_777a284a6c 3 1 2048 20 2018-02-12 14:24:21 2018-02-12 14:39:55
127 192.168.0.200 playerVirtual9_4246147567 playerVirtual9 192.168.0.200 playerVirtual5 playerVirtual5_83b76f05c8 3 2 4096 40 2018-02-12 14:25:53 2018-02-12 16:46:36
128 192.168.0.200 playerVirtual17_4246147567 playerVirtual17 192.168.0.200 playerVirtual8 playerVirtual8_e7b5b81305 3 2 4096 40 2018-02-12 14:26:28 2018-02-12 16:41:54
129 192.168.0.200 playerVirtual18_272887063 playerVirtual18 192.168.0.200 playerVirtual16 playerVirtual16_2509807bb0 1 1 2048 20 2018-02-12 14:26:34 NULL
130 192.168.0.200 playerVirtual19_4246147567 playerVirtual19 192.168.0.200 playerVirtual12 playerVirtual12_c7b428403b 3 2 4096 40 2018-02-12 14:29:50 2018-02-12 16:28:47
131 192.168.0.200 playerVirtual4_4246147567 playerVirtual4 192.168.0.200 playerVirtual17 playerVirtual17_45ea7b7228 3 2 4096 40 2018-02-12 14:34:06 2018-02-12 16:31:14
132 192.168.0.200 playerVirtual7_82730999 playerVirtual7 192.168.0.200 playerVirtual4 playerVirtual4_87bf2b528b 1 1 512 1 2018-02-12 14:38:09 NULL
133 192.168.0.200 playerVirtual14_4246147567 playerVirtual14 192.168.0.200 playerVirtual15 playerVirtual15_c26e669c03 3 2 4096 40 2018-02-12 14:42:37 2018-02-12 15:26:01
134 192.168.0.200 playerVirtual8_4246147567 playerVirtual8 192.168.0.200 playerVirtual9 playerVirtual9_1831cb790e 3 2 4096 40 2018-02-12 14:43:42 2018-02-12 15:53:48
135 192.168.0.200 playerVirtual11_4820150269 playerVirtual11 192.168.0.200 playerVirtual6 playerVirtual6_2c4aab455e 1 2 4096 40 2018-02-12 14:44:18 NULL
136 192.168.0.200 playerVirtual15_6566788 playerVirtual15 192.168.0.200 playerVirtual13 playerVirtual13_da02f2bbb5 3 1 2048 20 2018-02-12 14:44:46 2018-02-12 14:50:39
137 192.168.0.200 playerVirtual16_4820150269 playerVirtual16 192.168.0.200 playerVirtual19 playerVirtual19_945712d53f 3 2 4096 40 2018-02-12 14:46:49 2018-02-12 15:00:56
138 192.168.0.200 playerVirtual18_4246147567 playerVirtual18 192.168.0.200 playerVirtual14 playerVirtual14_ad5860a4c4 3 2 4096 40 2018-02-12 14:47:42 2018-02-12 16:45:24
139 192.168.0.200 playerVirtual10_3338579772 playerVirtual10 192.168.0.200 playerVirtual18 playerVirtual18_ca092957a6 1 1 2048 20 2018-02-12 14:49:20 NULL
140 192.168.0.200 playerVirtual13_5297461910 playerVirtual13 192.168.0.200 playerVirtual10 playerVirtual10_b31c5861c8 3 1 512 1 2018-02-12 14:52:11 2018-02-12 16:39:28
141 192.168.0.200 playerVirtual6_4246147567 playerVirtual6 192.168.0.200 playerVirtual11 playerVirtual11_11e6a4318f 3 2 4096 40 2018-02-12 14:52:21 2018-02-12 16:58:25
142 192.168.0.200 playerVirtual12_16917741 playerVirtual12 192.168.0.200 playerVirtual7 playerVirtual7_dfebd06be2 3 1 512 1 2018-02-12 14:53:28 2018-02-12 15:28:45
143 192.168.0.200 playerVirtual5_1436344784 playerVirtual5 192.168.0.200 playerVirtual8 playerVirtual8_4049d57352 1 1 2048 20 2018-02-12 14:55:59 NULL
144 192.168.0.200 playerVirtual7_4246147567 playerVirtual7 192.168.0.200 playerVirtual5 playerVirtual5_26cc125556 3 2 4096 40 2018-02-12 14:56:01 2018-02-12 17:03:13
145 192.168.0.200 playerVirtual9_4246147567 playerVirtual9 192.168.0.200 playerVirtual16 playerVirtual16_3cd1cdd799 3 2 4096 40 2018-02-12 14:56:08 2018-02-12 16:46:36
146 192.168.0.200 playerVirtual12_5792765 playerVirtual12 192.168.0.200 playerVirtual9 playerVirtual9_95002c4ac2 1 1 512 1 2018-02-12 15:00:59 NULL
147 192.168.0.200 playerVirtual11_4246147567 playerVirtual11 192.168.0.200 playerVirtual12 playerVirtual12_659adc9952 3 2 4096 40 2018-02-12 15:03:23 2018-02-12 16:52:17
148 192.168.0.200 playerVirtual10_6280643141 playerVirtual10 192.168.0.200 playerVirtual13 playerVirtual13_2926b98b9f 1 1 512 1 2018-02-12 15:04:14 NULL
