ORIGIN STATUS TIMESTAMP_RECEIVED TIMESTAMP_FINISHED
113 192.168.0.200 playerVirtual18_4246147567 playerVirtual18 192.168.0.200 playerVirtual14 playerVirtual14_35357c77eb 3 2 4096 40 2018-02-14 15:54:45 2018-02-14 17:43:14
114 192.168.0.200 playerVirtual9_6566788 playerVirtual9 192.168.0.200 playerVirtual17 playerVirtual17_055e7371c9 1 1 2048 20 2018-02-14 15:55:10 NULL
115 192.168.0.200 playerVirtual15_4246147567 playerVirtual15 192.168.0.200 playerVirtual9 playerVirtual9_8cb2e0bfa1 1 2 4096 40 2018-02-14 15:58:51 NULL
116 192.168.0.200 playerVirtual19_4820150269 playerVirtual19 192.168.0.200 playerVirtual13 playerVirtual13_e4cd892ef7 3 2 4096 40 2018-02-14 16:02:08 2018-02-14 16:15:54
117 192.168.0.200 playerVirtual11_4820150269 playerVirtual11 192.168.0.200 playerVirtual12 playerVirtual12_12f9e00451 1 2 4096 40 2018-02-14 16:04:00 NULL
118 192.168.0.200 playerVirtual16_16917741 playerVirtual16 192.168.0.200 playerVirtual15 playerVirtual15_7305a627cc 3 1 512 1 2018-02-14 16:04:03 2018-02-14 16:39:19
119 192.168.0.200 playerVirtual10_4246147567 playerVirtual10 192.168.0.200 playerVirtual18 playerVirtual18_ff676de65f 3 2 4096 40 2018-02-14 16:08:15 2018-02-14 18:17:05
120 192.168.0.200 playerVirtual13_5297461910 playerVirtual13 192.168.0.200 playerVirtual16 playerVirtual16_e1c7b58f16 3 1 512 1 2018-02-14 16:12:06 2018-02-14 17:38:35
121 192.168.0.200 playerVirtual8_4246147567 playerVirtual8 192.168.0.200 playerVirtual11 playerVirtual11_78a920f869 3 2 4096 40 2018-02-14 16:12:43 2018-02-14 17:08:00
122 192.168.0.200 playerVirtual9_4246147567 playerVirtual9 192.168.0.200 playerVirtual8 playerVirtual8_b57baecab4 3 2 4096 40 2018-02-14 16:14:15 2018-02-14 16:26:25
123 192.168.0.200 playerVirtual16_1438244924 playerVirtual16 192.168.0.200 playerVirtual19 playerVirtual19_e7bea86357 1 1 2048 20 2018-02-14 16:17:23 NULL
124 192.168.0.200 playerVirtual11_6280643141 playerVirtual11 192.168.0.200 playerVirtual14 playerVirtual14_cc68ba21d9 1 1 512 1 2018-02-14 16:18:50 NULL
125 192.168.0.200 playerVirtual13_4246147567 playerVirtual13 192.168.0.200 playerVirtual10 playerVirtual10_713434c235 3 2 4096 40 2018-02-14 16:22:55 2018-02-14 18:19:43
126 192.168.0.200 playerVirtual14_4246147567 playerVirtual14 192.168.0.200 playerVirtual17 playerVirtual17_1961cb1fb3 3 2 4096 40 2018-02-14 16:27:12 2018-02-14 18:24:27
127 192.168.0.200 playerVirtual18_4246147567 playerVirtual18 192.168.0.200 playerVirtual9 playerVirtual9_368ba302f0 3 2 4096 40 2018-02-14 16:27:25 2018-02-14 17:43:14
128 192.168.0.200 playerVirtual17_4246147567 playerVirtual17 192.168.0.200 playerVirtual12 playerVirtual12_11df9a7551 3 2 4096 40 2018-02-14 16:29:24 2018-02-14 18:03:57
129 192.168.0.200 playerVirtual15_990694203 playerVirtual15 192.168.0.200 playerVirtual16 playerVirtual16_ef8cff6cf5 3 1 2048 20 2018-02-14 16:29:47 2018-02-14 16:35:03
130 192.168.0.200 playerVirtual19_4246147567 playerVirtual19 192.168.0.200 playerVirtual15 playerVirtual15_113d7015ab 3 2 4096 40 2018-02-14 16:36:16 2018-02-14 17:51:15
131 192.168.0.200 playerVirtual10_4246147567 playerVirtual10 192.168.0.200 playerVirtual19 playerVirtual19_d9472284e9 3 2 4096 40 2018-02-14 16:42:14 2018-02-14 18:17:05
132 192.168.0.200 playerVirtual8_4246147567 playerVirtual8 192.168.0.200 playerVirtual13 playerVirtual13_668062f49e 3 2 4096 40 2018-02-14 16:47:23 2018-02-14 17:08:00
133 192.168.0.200 playerVirtual12_4246147567 playerVirtual12 192.168.0.200 playerVirtual10 playerVirtual10_49f45a6364 3 2 4096 40 2018-02-14 16:48:16 2018-02-14 17:03:39
134 192.168.0.200 playerVirtual9_990694203 playerVirtual9 192.168.0.200 playerVirtual12 playerVirtual12_ed788b09d4 3 1 2048 20 2018-02-14 16:48:28 2018-02-14 18:06:01
135 192.168.0.200 playerVirtual16_4820318661 playerVirtual16 192.168.0.200 playerVirtual9 playerVirtual9_f43b8f0dee 1 2 4096 40 2018-02-14 16:54:18 NULL
136 192.168.0.200 playerVirtual11_904011 playerVirtual11 192.168.0.200 playerVirtual18 playerVirtual18_1332af3fa6 1 1 2048 20 2018-02-14 16:55:34 NULL
137 192.168.0.200 playerVirtual13_4246147567 playerVirtual13 192.168.0.200 playerVirtual11 playerVirtual11_edf7116960 3 2 4096 40 2018-02-14 16:59:11 2018-02-14 18:19:43
138 192.168.0.200 playerVirtual14_4246147567 playerVirtual14 192.168.0.200 playerVirtual8 playerVirtual8_59a69cbd84 3 2 4096 40 2018-02-14 17:03:00 2018-02-14 18:24:27
139 192.168.0.200 playerVirtual18_2148750930 playerVirtual18 192.168.0.200 playerVirtual14 playerVirtual14_052650639d 1 1 2048 20 2018-02-14 17:04:08 NULL
140 192.168.0.200 playerVirtual17_4246147567 playerVirtual17 192.168.0.200 playerVirtual16 playerVirtual16_63cae8e68d 3 2 4096 40 2018-02-14 17:06:08 2018-02-14 18:03:57
141 192.168.0.200 playerVirtual11_6370662053 playerVirtual11 192.168.0.200 playerVirtual17 playerVirtual17_a8bfd89e7a 1 1 512 1 2018-02-14 17:16:06 NULL
142 192.168.0.200 playerVirtual16_4246147567 playerVirtual16 192.168.0.200 playerVirtual15 playerVirtual15_4f522dffe2 3 2 4096 40 2018-02-14 17:17:29 2018-02-14 18:13:01
143 192.168.0.200 playerVirtual10_4246147567 playerVirtual10 192.168.0.200 playerVirtual19 playerVirtual19_0998a53fef 3 2 4096 40 2018-02-14 17:19:37 2018-02-14 18:17:05
144 192.168.0.200 playerVirtual18_4246147567 playerVirtual18 192.168.0.200 playerVirtual13 playerVirtual13_61228f55ec 3 2 4096 40 2018-02-14 17:24:48 2018-02-14 17:43:14
145 192.168.0.200 playerVirtual19_4246147567 playerVirtual19 192.168.0.200 playerVirtual10 playerVirtual10_fddcc356c6 3 2 4096 40 2018-02-14 17:27:43 2018-02-14 17:51:15
146 192.168.0.200 playerVirtual11_4246147567 playerVirtual11 192.168.0.200 playerVirtual12 playerVirtual12_479e12de24 3 2 4096 40 2018-02-14 17:36:55 2018-02-14 17:56:28
147 192.168.0.200 playerVirtual9_990694203 playerVirtual9 192.168.0.200 playerVirtual18 playerVirtual18_54b147d6c2 3 1 2048 20 2018-02-14 17:41:39 2018-02-14 18:06:01
148 192.168.0.200 playerVirtual14_539194189 playerVirtual14 192.168.0.200 playerVirtual9 playerVirtual9_d53eb16fb0 1 1 2048 20 2018-02-14 17:41:52 NULL
