ORIGIN STATUS TIMESTAMP_RECEIVED TIMESTAMP_FINISHED
131 192.168.0.200 playerVirtual9_4246147567 playerVirtual9 192.168.0.200 playerVirtual17 playerVirtual17_c11d5ba629 3 2 4096 40 2018-02-13 01:32:31 2018-02-13 03:26:41
132 192.168.0.200 playerVirtual8_1438244924 playerVirtual8 192.168.0.200 playerVirtual19 playerVirtual19_a9a2235117 1 1 2048 20 2018-02-13 01:33:45 NULL
133 192.168.0.200 playerVirtual12_1436344784 playerVirtual12 192.168.0.200 playerVirtual7 playerVirtual7_42267877ad 1 1 2048 20 2018-02-13 01:36:01 NULL
134 192.168.0.200 playerVirtual14_4246147567 playerVirtual14 192.168.0.200 playerVirtual6 playerVirtual6_62854542fe 3 2 4096 40 2018-02-13 01:39:04 2018-02-13 01:48:45
135 192.168.0.200 playerVirtual10_4246147567 playerVirtual10 192.168.0.200 playerVirtual12 playerVirtual12_5e4e7065f2 3 2 4096 40 2018-02-13 01:41:13 2018-02-13 02:37:09
136 192.168.0.200 playerVirtual15_4246147567 playerVirtual15 192.168.0.200 playerVirtual10 playerVirtual10_3c983e0a64 3 2 4096 40 2018-02-13 01:43:22 2018-02-13 03:01:11
137 192.168.0.200 playerVirtual7_4246147567 playerVirtual7 192.168.0.200 playerVirtual15 playerVirtual15_0a6a5b68d8 3 2 4096 40 2018-02-13 01:45:42 2018-02-13 03:13:52
138 192.168.0.200 playerVirtual18_4246147567 playerVirtual18 192.168.0.200 playerVirtual9 playerVirtual9_56775a2d50 3 2 4096 40 2018-02-13 01:46:25 2018-02-13 03:12:48
139 192.168.0.200 playerVirtual12_990694203 playerVirtual12 192.168.0.200 playerVirtual14 playerVirtual14_8c47a1617d 3 1 2048 20 2018-02-13 01:47:35 2018-02-13 02:12:23
140 192.168.0.200 playerVirtual19_4246147567 playerVirtual19 192.168.0.200 playerVirtual13 playerVirtual13_813b979387 3 2 4096 40 2018-02-13 01:52:45 2018-02-13 03:34:56
141 192.168.0.200 playerVirtual6_4246147567 playerVirtual6 192.168.0.200 playerVirtual16 playerVirtual16_cab6adc247 3 2 4096 40 2018-02-13 01:52:50 2018-02-13 02:40:20
142 192.168.0.200 playerVirtual13_4246147567 playerVirtual13 192.168.0.200 playerVirtual11 playerVirtual11_f0bd35b8bf 3 2 4096 40 2018-02-13 01:53:20 2018-02-13 03:23:40
143 192.168.0.200 playerVirtual8_4246147567 playerVirtual8 192.168.0.200 playerVirtual19 playerVirtual19_37d97b6f86 3 2 4096 40 2018-02-13 01:55:04 2018-02-13 02:08:41
144 192.168.0.200 playerVirtual17_4246147567 playerVirtual17 192.168.0.200 playerVirtual18 playerVirtual18_cd126efd87 3 2 4096 40 2018-02-13 01:58:52 2018-02-13 03:14:43
145 192.168.0.200 playerVirtual11_904011 playerVirtual11 192.168.0.200 playerVirtual8 playerVirtual8_a2dc4ae44b 1 1 2048 20 2018-02-13 02:08:39 NULL
146 192.168.0.200 playerVirtual9_4246147567 playerVirtual9 192.168.0.200 playerVirtual17 playerVirtual17_69c8e98e22 3 2 4096 40 2018-02-13 02:09:18 2018-02-13 03:26:41
147 192.168.0.200 playerVirtual14_2378747961 playerVirtual14 192.168.0.200 playerVirtual7 playerVirtual7_e9d130fd4d 1 1 512 1 2018-02-13 02:14:12 NULL
