ORIGIN STATUS TIMESTAMP_RECEIVED TIMESTAMP_FINISHED
107 192.168.0.200 playerVirtual10_4246147567 playerVirtual10 192.168.0.200 playerVirtual11 playerVirtual11_372f219c68 3 2 4096 40 2018-02-13 05:25:25 2018-02-13 08:02:55
108 192.168.0.200 playerVirtual8_4246147567 playerVirtual8 192.168.0.200 playerVirtual18 playerVirtual18_ec090fda3f 3 2 4096 40 2018-02-13 05:31:47 2018-02-13 08:13:42
109 192.168.0.200 playerVirtual9_6344084916 playerVirtual9 192.168.0.200 playerVirtual8 playerVirtual8_b3e7f7b125 1 1 512 1 2018-02-13 05:31:56 NULL
110 192.168.0.200 playerVirtual18_990694203 playerVirtual18 192.168.0.200 playerVirtual13 playerVirtual13_a2ebf2a5c1 3 1 2048 20 2018-02-13 05:33:14 2018-02-13 05:45:37
111 192.168.0.200 playerVirtual12_4246147567 playerVirtual12 192.168.0.200 playerVirtual9 playerVirtual9_f85bc5e6c8 3 2 4096 40 2018-02-13 05:33:54 2018-02-13 06:47:15
112 192.168.0.200 playerVirtual17_4246147567 playerVirtual17 192.168.0.200 playerVirtual15 playerVirtual15_4870e5bd49 3 2 4096 40 2018-02-13 05:35:23 2018-02-13 07:57:28
113 192.168.0.200 playerVirtual14_4246147567 playerVirtual14 192.168.0.200 playerVirtual17 playerVirtual17_1294fa1bb1 3 2 4096 40 2018-02-13 05:44:31 2018-02-13 08:11:09
114 192.168.0.200 playerVirtual13_82730999 playerVirtual13 192.168.0.200 playerVirtual12 playerVirtual12_e1956c37c0 1 1 512 1 2018-02-13 05:45:36 NULL
115 192.168.0.200 playerVirtual16_272887063 playerVirtual16 192.168.0.200 playerVirtual19 playerVirtual19_ad70c4340b 1 1 2048 20 2018-02-13 05:45:36 NULL
116 192.168.0.200 playerVirtual19_16917741 playerVirtual19 192.168.0.200 playerVirtual14 playerVirtual14_f18b179e13 3 1 512 1 2018-02-13 05:47:42 2018-02-13 06:41:12
117 192.168.0.200 playerVirtual15_4246147567 playerVirtual15 192.168.0.200 playerVirtual16 playerVirtual16_d01cc0d89f 3 2 4096 40 2018-02-13 05:49:13 2018-02-13 06:56:20
118 192.168.0.200 playerVirtual11_4820150269 playerVirtual11 192.168.0.200 playerVirtual10 playerVirtual10_d5119c1526 1 2 4096 40 2018-02-13 05:53:00 NULL
119 192.168.0.200 playerVirtual16_5068098508 playerVirtual16 192.168.0.200 playerVirtual11 playerVirtual11_f4a965f7af 1 1 2048 20 2018-02-13 05:54:39 NULL
120 192.168.0.200 playerVirtual10_3338579772 playerVirtual10 192.168.0.200 playerVirtual18 playerVirtual18_039f9ca930 1 1 2048 20 2018-02-13 05:55:15 NULL
121 192.168.0.200 playerVirtual13_1436344784 playerVirtual13 192.168.0.200 playerVirtual8 playerVirtual8_c5b2ff2b02 1 1 2048 20 2018-02-13 06:00:45 NULL
122 192.168.0.200 playerVirtual8_4246147567 playerVirtual8 192.168.0.200 playerVirtual13 playerVirtual13_dc7e5115b9 3 2 4096 40 2018-02-13 06:02:34 2018-02-13 08:13:42
123 192.168.0.200 playerVirtual9_4246147567 playerVirtual9 192.168.0.200 playerVirtual15 playerVirtual15_15a73550fe 3 2 4096 40 2018-02-13 06:03:11 2018-02-13 08:10:41
124 192.168.0.200 playerVirtual12_4246147567 playerVirtual12 192.168.0.200 playerVirtual9 playerVirtual9_c2bdb86aa9 3 2 4096 40 2018-02-13 06:03:51 2018-02-13 06:47:15
125 192.168.0.200 playerVirtual18_4246147567 playerVirtual18 192.168.0.200 playerVirtual17 playerVirtual17_f4cbcb5c61 3 2 4096 40 2018-02-13 06:04:43 2018-02-13 07:28:57
126 192.168.0.200 playerVirtual19_990694203 playerVirtual19 192.168.0.200 playerVirtual12 playerVirtual12_1fa4f46b7e 3 1 2048 20 2018-02-13 06:06:55 2018-02-13 06:20:36
